id,unique_payment_code,referral_code,status,nama_team,asal_sekolah,nama_guru_pendamping,no_telp_guru_pendamping,region,id_kota,biaya,username,password,email
1,0,OTS10,active,OTS10,SMA OTS,,,1,3578,150000,teamots10otsnlc,K6U8FVHN18,teamots10otsnlc@sch.id
2,0,OTS11,active,OTS11,SMA OTS,,,1,3578,150000,teamots11otsnlc,IH1FWW3VJX,teamots11otsnlc@sch.id
3,0,OTS12,active,OTS12,SMA OTS,,,1,3578,150000,teamots12otsnlc,4KZ604EWGR,teamots12otsnlc@sch.id
4,0,OTS13,active,OTS13,SMA OTS,,,1,3578,150000,teamots13otsnlc,8SI6A16QVQ,teamots13otsnlc@sch.id
5,0,OTS14,active,OTS14,SMA OTS,,,1,3578,150000,teamots14otsnlc,YKEE3OO3LF,teamots14otsnlc@sch.id
6,0,OTS15,active,OTS15,SMA OTS,,,1,3578,150000,teamots15otsnlc,FEOZX12LFP,teamots15otsnlc@sch.id
7,0,OTS16,active,OTS16,SMA OTS,,,1,3578,150000,teamots16otsnlc,Q7H0O1AT95,teamots16otsnlc@sch.id
8,0,OTS17,active,OTS17,SMA OTS,,,1,3578,150000,teamots17otsnlc,FFXKQNBXWM,teamots17otsnlc@sch.id
9,0,OTS18,active,OTS18,SMA OTS,,,1,3578,150000,teamots18otsnlc,K23YRBG1BY,teamots18otsnlc@sch.id
10,0,OTS19,active,OTS19,SMA OTS,,,1,3578,150000,teamots19otsnlc,KDDLSKCEX1,teamots19otsnlc@sch.id
11,0,OTS20,active,OTS20,SMA OTS,,,2,3578,150000,teamots20otsnlc,ITINU0BWBL,teamots20otsnlc@sch.id
12,0,OTS21,active,OTS21,SMA OTS,,,2,3578,150000,teamots21otsnlc,O4E15B1VT5,teamots21otsnlc@sch.id
13,0,OTS22,active,OTS22,SMA OTS,,,2,3578,150000,teamots22otsnlc,2YC4TXQ7AE,teamots22otsnlc@sch.id
14,0,OTS23,active,OTS23,SMA OTS,,,2,3578,150000,teamots23otsnlc,T8KZD96T75,teamots23otsnlc@sch.id
15,0,OTS24,active,OTS24,SMA OTS,,,2,3578,150000,teamots24otsnlc,3W13AG9BT2,teamots24otsnlc@sch.id
16,0,OTS25,active,OTS25,SMA OTS,,,2,3578,150000,teamots25otsnlc,86W8DGCYS7,teamots25otsnlc@sch.id
17,0,OTS26,active,OTS26,SMA OTS,,,2,3578,150000,teamots26otsnlc,459EW4W5Z1,teamots26otsnlc@sch.id
